year,month,day,pressure,humidity,temperature,wind_speed,wind_direction,dew_point,rainfall
1982,4,22,95.82,32.06,34.51,7.27,281.62,11.24,1.39
1982,4,23,95.83,30.25,32.2,3.97,288.88,9.98,0.2
1982,4,24,95.68,30.44,32.64,5.86,279.88,8.74,0
1982,4,25,95.63,38.75,30.8,4.44,271.62,11.14,0
1982,4,26,95.64,46.88,31.77,4.8,272.69,13.98,0.02
1982,4,27,95.68,42.81,33.75,5.88,279.62,13,0
1982,4,28,95.73,37.06,34.33,6,316.38,12.51,0.2
1982,4,29,95.81,28.88,35.28,5.4,183.38,10.01,0
1982,4,30,95.73,25.56,36.28,4.73,167.69,9.48,0
1982,5,1,95.7,25.69,36.8,5.06,328.12,10.41,0.05
1982,5,2,95.8,30.44,36.15,2.16,327.31,12.89,6.55
1982,5,3,95.93,53.44,30.01,6.73,174.88,18.05,2.48
1982,5,4,95.79,36.19,33.23,7.28,313.12,12.76,0
1982,5,5,95.89,36.12,33.46,7.44,296.19,12.64,0
1982,5,6,95.87,38.44,32.47,4.71,271.31,12.17,0
1982,5,7,95.8,47.06,31.91,5.29,276.38,14.48,0.81
1982,5,8,95.84,45.75,30.12,2.7,284.69,14.22,0.08
1982,5,9,95.86,55.06,30.17,2.77,289.5,16.71,0.38
1982,5,10,95.78,53.38,32.07,2.21,299.81,17.69,0.3
1982,5,11,95.64,46.94,34.97,5.05,297.25,16.91,0
1982,5,12,95.6,41.88,35.4,5.88,268.31,14.42,0
1982,5,13,95.52,45.25,34.47,5.17,262.56,15.19,0
1982,5,14,95.48,46.81,34.15,5.5,265,15.01,0
1982,5,15,95.67,41.88,35.3,7.14,292.25,13.68,0
1982,5,16,95.8,34.38,35.78,5.15,284.44,12.9,0
1982,5,17,95.79,31.25,37.16,5.19,161.75,12.67,4.09
1982,5,18,95.81,50.5,33.37,5.84,190.38,18.67,11.27
1982,5,19,95.95,54.5,32.08,4.01,303.69,19.01,2.54
1982,5,20,95.96,49.44,32.58,5.65,213.5,17.65,7.58
1982,5,21,95.8,43,32.07,4.58,309.69,14.99,3.17
1982,5,22,95.61,38.56,32.58,4.82,323.81,13.37,0.18
1982,5,23,95.48,38,33.47,6.16,315.56,14.05,0.46
1982,5,24,95.54,38.38,34.05,6.02,271.69,14.49,0.01
1982,5,25,95.58,37.56,33.99,1.8,203.56,14.64,0.07
1982,5,26,95.54,40.88,35.74,3.29,84.12,16.87,1.2
1982,5,27,95.54,44.38,33.05,3.44,209.38,17.19,0.09
1982,5,28,95.31,38.69,35.67,5.09,299.06,15.63,0.09
1982,5,29,95.34,44.25,35.06,2.64,289.62,17.37,1.05
1982,5,30,95.44,44.31,34.26,3.52,282.62,16.82,0.01
1982,5,31,95.44,49.5,32.56,5.26,289.88,17.91,9.72
1982,6,1,95.35,52.31,32.35,5.09,294,17.44,0.05
1982,6,2,95.32,47.38,32.37,5.75,293.88,16.12,1.73
1982,6,3,95.28,45.62,33.92,3.66,303.5,16.48,0
1982,6,4,95.31,43.88,34.96,3.2,301.44,16.65,0
1982,6,5,95.36,44.5,34.64,2.08,294.44,17.05,0
1982,6,6,95.38,46.12,34.86,2.77,297,17.91,0
1982,6,7,95.29,42.88,35.44,2.74,294.12,16.92,0
1982,6,8,95.29,44.44,34.34,2.35,290.56,17.09,0
1982,6,9,95.17,46.56,35.45,5.85,286.69,17.83,0.01
1982,6,10,95.13,48.62,35.33,5.9,276.94,18.6,0.1
1982,6,11,95.14,50.5,35.25,3.99,277.81,19.33,0.12
1982,6,12,95.28,54,34.01,3.1,279,19.51,0.33
1982,6,13,95.24,56.88,32.92,1.63,280.88,20.08,0.12
1982,6,14,95.16,51.38,35.64,5.97,268.75,19.01,0.08
1982,6,15,95.22,54.88,32.96,4.09,267.25,19.71,0.09
1982,6,16,95.28,62.06,31.11,7.89,248.81,20.37,16.3
1982,6,17,95.19,62.81,31,7.09,218.25,20.42,0.62
1982,6,18,95.06,67.62,31.11,6.79,263.81,21.65,1.46
1982,6,19,95.05,73.31,27.86,6.36,278.62,21.44,0.48
1982,6,20,95.27,75.12,26.75,5.36,279.94,21.51,15.52
1982,6,21,95.47,72.75,27.76,3.73,263.88,21.4,1.63
1982,6,22,95.35,64.44,30.84,4.05,274.44,20.77,1.11
1982,6,23,95.28,68.69,29.12,2.8,275.31,21.13,0.49
1982,6,24,95.28,64.62,30.9,4.25,267.31,20.75,4.21
1982,6,25,95.3,64.12,31.22,3.43,259.44,20.67,3.97
1982,6,26,95.22,63.94,31.84,2.76,268.06,21.11,0.2
1982,6,27,95.23,62.94,31.5,2.38,271.25,20.82,0
1982,6,28,95.28,63.06,31.12,4.25,265.06,20.65,0
1982,6,29,95.55,60.56,31.23,3.18,272.44,19.55,0
1982,6,30,95.6,59,31.69,4.45,271,18.94,0
1982,7,1,95.5,54.19,32.01,3.34,264.62,17.26,0.02
1982,7,2,95.36,57.19,31.93,2.52,248,18.23,0.05
1982,7,3,95.29,57.81,33.25,3.09,238.81,19.8,0.4
1982,7,4,95.43,67.31,31.93,2.85,263.88,21.72,37.39
1982,7,5,95.44,68.12,30.58,2.92,264.38,21.31,6.2
1982,7,6,95.35,67.62,29.9,2.51,269.81,21.09,1.32
1982,7,7,95.42,67.12,29.94,2.44,274,21.01,0.1
1982,7,8,95.36,66.81,30.07,2.86,285.06,21.05,0
1982,7,9,95.27,73.5,28.01,5.7,289.56,21.73,0.08
1982,7,10,95.25,74.88,28.8,5.98,213.25,22.4,29.6
1982,7,11,95.25,79.75,26.81,3.63,279.62,21.87,9.42
1982,7,12,95.09,74,27.05,5.07,179.56,20.46,12.16
1982,7,13,95,77.75,27.62,6.98,112.81,22.15,0.71
1982,7,14,95.06,72.5,28.98,4.94,224.81,21.51,0.74
1982,7,15,95.05,79.31,26.44,8.58,213.06,21.9,1.49
1982,7,16,95.13,79.81,26.83,2.5,230.81,22.35,1.24
1982,7,17,94.98,84.19,26.51,2.21,241.56,23.33,25.88
1982,7,18,94.91,80.06,27.68,4.8,250.94,22.88,1
1982,7,19,94.9,77.88,28.3,3.53,262.69,22.93,1.5
1982,7,20,94.89,78.31,28.27,4.35,272.06,22.54,5.29
1982,7,21,94.94,84.56,25.54,3.86,250.06,22.48,6.4
1982,7,22,95.23,75.25,27.13,3.48,244,21.19,7.15
1982,7,23,95.36,78.19,27.29,3.49,263.12,22.12,4.38
1982,7,24,95.43,76.38,27.38,3.16,260.44,21.73,3.64
1982,7,25,95.44,75.75,27.01,5.3,260.44,21.27,4.83
1982,7,26,95.35,75,26.93,4.83,266.5,21.03,0.85
1982,7,27,95.31,79,26.35,5.01,255.06,21.62,0.52
1982,7,28,95.16,77.12,27.44,4.54,255.94,21.98,1.34
1982,7,29,95.17,82.38,25.97,4.24,265,22.33,10
1982,7,30,95.1,77.06,27.09,4.38,266.31,21.84,4.34
1982,7,31,94.97,77.31,27.49,4.05,267.31,22,0.52
1982,8,1,95.04,78.69,25.66,3.77,255.25,21.3,0.43
1982,8,2,95.21,77.81,24.23,2.78,244,19.89,1.09
1982,8,3,95.47,74.5,25.55,4.38,248.12,19.87,0.39
1982,8,4,95.49,74.75,27.01,2.1,258.62,20.69,2.32
1982,8,5,95.41,75.25,27.65,2,260.75,21.41,1.2
1982,8,6,95.26,78.62,26.57,2.39,267.19,21.53,2.91
1982,8,7,95.25,78.38,25.5,4.72,253,20.76,0.88
1982,8,8,95.31,75.06,25.74,4.12,259.44,19.98,0.21
1982,8,9,95.3,77.38,25.29,2.66,261.38,20.08,1.39
1982,8,10,95.26,75.69,25.93,2.63,257.31,20.21,1.71
1982,8,11,95.19,83,24.65,3.66,265.94,21.19,2.22
1982,8,12,95.03,80.5,24.96,4.59,258.75,20.85,4.22
1982,8,13,95.01,84.38,25.01,2.7,261.31,21.8,6.5
1982,8,14,95.08,85.69,24.32,4.19,254.75,21.7,33.54
1982,8,15,95.26,80.25,25.85,3.1,254.56,21.51,1.53
1982,8,16,95.22,80.94,25.63,4.1,264.94,21.51,3.21
1982,8,17,95.16,84.12,24.3,2.59,262.31,21.3,3.39
1982,8,18,95.18,85.44,24.33,3.02,258.5,21.72,2.73
1982,8,19,95.24,85.5,24.55,4.01,255.62,21.88,5.8
1982,8,20,95.29,85.69,24.73,3.73,258.12,21.85,20.79
1982,8,21,95.22,85.94,24.83,3.9,263.38,22.08,14.24
1982,8,22,95.25,85.62,24.25,2.81,263.81,21.5,8.83
1982,8,23,95.22,82.25,24.83,4.26,262.88,21.26,1.33
1982,8,24,95.3,81.38,25.23,3.88,262.81,21.32,1.81
1982,8,25,95.4,80.56,25.69,5.12,268,21.44,1.32
1982,8,26,95.46,80.31,25.54,3.27,279.25,21.14,0.18
1982,8,27,95.55,83,24.52,1.71,274.19,20.96,0.08
1982,8,28,95.5,79.31,25.85,1.32,280.56,20.85,0.21
1982,8,29,95.47,78.31,26.22,1.46,271.88,20.83,0.28
1982,8,30,95.52,76.94,26.3,2.13,272.31,20.51,0.09
1982,8,31,95.67,80.38,25.37,1.99,285.81,20.77,0.36
1982,9,1,95.8,79.38,25.83,2.43,296.5,20.87,0.61
1982,9,2,95.78,76,26.6,3.03,284.56,20.69,0.05
1982,9,3,95.75,75.62,26.44,3.19,287.12,20.4,0.03
1982,9,4,95.78,73.75,26.19,1.98,282.69,19.69,0.03
1982,9,5,95.74,73.81,26.09,2.29,280.12,19.46,0.19
1982,9,6,95.65,74,26.84,2.34,288.5,19.93,0.12
1982,9,7,95.66,76.06,26.89,1.98,282.38,20.72,4.1
1982,9,8,95.57,77.25,27.1,1.61,300.88,21.2,0.96
1982,9,9,95.51,76.56,26.8,2.05,307,21.08,0.44
1982,9,10,95.42,80.06,26.34,2.62,298.88,21.81,0.45
1982,9,11,95.39,81.31,25.7,2.5,285.12,21.81,4.03
1982,9,12,95.47,78.31,26.21,2.82,279,21.13,2.1
1982,9,13,95.53,75.69,27.09,2.85,292.06,20.81,0.14
1982,9,14,95.65,76.38,26.7,3.41,294.88,21.18,0
1982,9,15,95.74,71.31,28.16,2.85,285.44,20.29,0.34
1982,9,16,95.77,74.25,27.59,2.66,290.31,20.62,1.8
1982,9,17,95.77,71.5,27.65,4.98,290.44,19.53,0.29
1982,9,18,95.82,75.31,27.02,1.77,137.56,20.64,0
1982,9,19,95.86,76.69,27.53,3.64,76.94,21.81,14.17
1982,9,20,95.86,78.69,27.14,3.7,161.31,22.09,3.19
1982,9,21,95.85,73.19,28.16,3.38,269.94,21.06,1.88
1982,9,22,95.65,78.5,26.98,3.62,293.81,21.56,7.8
1982,9,23,95.65,76.06,25.76,2.24,287.69,19.83,5.36
1982,9,24,95.79,74.12,24.93,1.61,316.62,18.28,0.89
1982,9,25,95.87,73,26.37,2,129.19,19.43,0.01
1982,9,26,95.85,77.94,26.2,1.78,46.69,20.94,0.3
1982,9,27,95.79,75.06,27.16,3.73,74.94,20.8,5.15
1982,9,28,95.86,61.38,25.96,4.36,82.88,16.32,4.97
1982,9,29,95.94,56.88,25.95,3.3,147.44,15.55,1.34
1982,9,30,95.96,66.44,27.25,5.59,303.44,18.28,1.14
1982,10,1,96.05,66,27.52,1.98,219.44,18.31,0.17
1982,10,2,96.25,62.5,27.48,2.99,139,17.9,2.03
1982,10,3,96.35,56.38,27.69,7.19,109.19,16.27,0.22
1982,10,4,96.22,55.69,27.65,4.61,84.88,15.87,0
1982,10,5,96.15,58.38,28.78,4.81,133.38,17.55,0
1982,10,6,96.19,63.75,27.79,5,136.5,18.99,0
1982,10,7,96.19,65.94,25.84,2.78,274.06,18.86,0.41
1982,10,8,96.08,62.31,28.06,2.86,300.12,18.6,0.02
1982,10,9,96.09,61.88,28.17,3.05,163.19,18.23,0
1982,10,10,96.15,57.56,29.12,4.02,146.31,17.58,0
1982,10,11,96.14,58.62,29.32,3.58,104.81,17.91,0
1982,10,12,96.12,57.5,29.62,5.73,118,17.98,0
1982,10,13,96.15,60.75,28.35,4.11,121.06,18.3,0
1982,10,14,96.11,55.56,29.62,5.37,99.06,17.19,0
1982,10,15,96.03,53.69,29.39,5.81,83.06,16.44,0.01
1982,10,16,95.95,54.19,27.65,6.22,78.5,15.26,0
1982,10,17,95.87,60.94,27.44,3.33,76,17.43,0
1982,10,18,95.94,59.62,27.87,3.6,109.12,16.94,0
1982,10,19,95.86,59.56,29.05,3.23,99.62,17.67,0
1982,10,20,95.67,58.38,29.57,1.39,102.06,17.98,0.06
1982,10,21,95.62,62.88,28.33,3.29,66.06,18.48,2.64
1982,10,22,95.73,66.5,27.55,3.44,285.75,19.06,2.65
1982,10,23,95.95,62.25,28.08,2.47,82.44,18.14,2.87
1982,10,24,96.12,69,26.55,2.42,128.62,19.24,0.29
1982,10,25,96.02,71.56,25.83,4.55,118.06,19.05,1.97
1982,10,26,95.81,70.94,26.54,3.09,160.25,19.33,0.15
1982,10,27,95.83,67.56,27.48,3.27,273.94,18.75,6.63
1982,10,28,96.13,72.56,26.84,2.93,172.19,19.53,1.64
1982,10,29,96.28,71.38,26.42,2.34,163.38,19.55,1.63
1982,10,30,96.19,67.25,27.6,4.45,163.06,18.8,0.05
1982,10,31,96.13,66.25,28.12,3.57,126.5,19.14,0.48
1982,11,1,96.19,64.25,27.06,8.09,126.5,17.87,0
1982,11,2,96.26,57.5,27.12,4.25,96.5,15.96,0
1982,11,3,96.35,57.31,25.91,2.88,102.88,15.32,0
1982,11,4,96.27,61.81,26.72,2.4,100.5,17.2,0
1982,11,5,95.97,62.38,27.23,2.93,105.25,17.87,0.51
1982,11,6,95.83,57,27.88,2.9,143.19,16.82,0.01
1982,11,7,95.95,76.94,23.77,7.55,131.12,19.15,2.99
1982,11,8,95.8,81.62,23.97,7.04,142,20.33,3.55
1982,11,9,95.51,81.06,24.46,7.12,217.75,20.76,12.1
1982,11,10,95.86,78.62,23.02,2.3,230.75,17.66,3.82
1982,11,11,96.01,71.31,23.83,5.03,225.44,16.41,0.27
1982,11,12,96.07,68.19,24.23,3.77,281,15.59,0
1982,11,13,96.18,66.62,24.27,5.25,113,15.38,0
1982,11,14,96.15,59.75,24.27,3.93,105.94,14.09,0
1982,11,15,96.14,64.75,25.61,3.01,247.38,16.36,0
1982,11,16,96.32,61.44,26.31,4.8,158.75,16.15,0
1982,11,17,96.42,55.88,25.5,4.07,126.19,14.05,0
1982,11,18,96.51,51.69,25.18,3.35,116.69,12.6,0
1982,11,19,96.31,55.81,23.68,5.91,149.19,13.57,0
1982,11,20,96.16,60.94,23.02,4.15,112.5,14.65,0
1982,11,21,96.12,58.81,25.12,2.09,129.94,14.73,0
1982,11,22,96.21,56.38,26.23,6.45,122.25,14.46,0
1982,11,23,96.17,52.62,27.24,5.98,83.12,14.23,0
1982,11,24,96.03,51.25,27.12,5.73,156,14.61,0
1982,11,25,95.91,50.5,26.65,4.65,234.5,14.09,0
1982,11,26,96,48.88,26.56,3.48,330.88,13.01,0
1982,11,27,96.12,42.56,26,5.25,283.56,9.83,0
1982,11,28,96.19,49,25.29,6.03,94.88,11.79,0
1982,11,29,96.17,45.44,25.85,5.04,60.75,10.82,0
1982,11,30,96.18,49.12,26.39,5.64,117.56,12.68,0
1982,12,1,96.25,48.38,26.87,5.35,98.56,13.05,0
1982,12,2,96.36,40.94,26.84,5.52,122,10.29,0
1982,12,3,96.39,33.62,24.95,4.45,104.88,5.94,0
1982,12,4,96.49,36.75,24.68,3.46,91.25,7.02,0
1982,12,5,96.44,37.69,24.7,4.85,251.75,7.26,0
1982,12,6,96.3,35.31,23.68,4.5,277.69,5.26,0
1982,12,7,96.24,32.94,23.99,4.88,218.06,5.62,0
1982,12,8,96.4,34.69,24.6,3.65,162.12,7.3,0
1982,12,9,96.53,42.5,25.82,5.82,138.5,10.23,0
1982,12,10,96.36,40.19,25.36,5.8,100.31,9.08,0
1982,12,11,96.26,40.88,24.14,4.25,85.69,8.38,0
1982,12,12,96.34,41.38,23.25,5.16,114.25,8.65,0
1982,12,13,96.33,35.38,25.41,6.02,178.12,7.19,0
1982,12,14,96.33,45.31,26.19,5.8,227.25,11.58,0
1982,12,15,96.22,38.25,27.43,2.7,181,10.01,0
1982,12,16,96.22,34.06,26.33,3.34,233.5,8.15,0
1982,12,17,96.37,37.31,26.4,5.09,175,10.03,0
1982,12,18,96.37,35.19,28.3,6.3,209.38,10.04,0
1982,12,19,96.27,34.5,26.58,2.52,243.88,7.84,0
1982,12,20,96.29,30.25,25.6,2.47,202.94,6.01,0
1982,12,21,96.31,36.38,27.35,4.95,148.44,9.44,0
1982,12,22,96.25,35.94,29.04,4.85,143.06,10.59,0
1982,12,23,96.06,33.12,28.43,5.13,285.12,8.67,0
1982,12,24,96.13,27.75,24.6,4.37,208.5,2.87,0
1982,12,25,96.17,27.88,23.77,6.12,82.44,2.14,0
1982,12,26,96.18,38.38,25.16,4.22,146.88,8.25,0
1982,12,27,95.97,42.56,24.66,5.41,214.75,9.63,0
1982,12,28,96.09,44.38,22.47,3.17,280.75,5.15,0
1982,12,29,96.47,22.06,19.76,3.82,109.06,-4.24,0
1982,12,30,96.49,23.56,20.05,5.9,59,-3.49,0
1982,12,31,96.33,21.44,20.86,4.8,159.88,-3.63,0
1983,1,1,96.37,21.94,20.49,5.79,323.94,-3.63,0
1983,1,2,96.31,24.38,19.93,3.52,76.25,-2.36,0
1983,1,3,96.34,21.31,20.12,6.05,106.69,-4.81,0
1983,1,4,96.42,17.5,20.2,5.43,85.81,-6.69,0
1983,1,5,96.43,16.12,19.97,3.27,77.25,-7.6,0
1983,1,6,96.44,15.81,20.59,2.83,90.56,-6.77,0
1983,1,7,96.43,14.94,20.51,5.44,253.31,-6.56,0
1983,1,8,96.35,25.25,20.77,3.88,312.69,-1.52,0
1983,1,9,96.3,34.25,21.37,3.67,311.31,3.15,0
1983,1,10,96.44,18.56,20.7,5.09,99.12,-5.53,0
1983,1,11,96.47,14,20.83,5.51,105.5,-8.66,0
1983,1,12,96.38,14.69,21.09,8.05,175.38,-7.28,0
1983,1,13,96.39,18.88,19.13,6.51,49.06,-6.63,0
1983,1,14,96.2,21.38,21.07,5.74,195.81,-2.35,0
1983,1,15,96.18,22.69,23.01,6.13,271.62,-0.87,0
1983,1,16,96.39,13.25,22.21,5.7,156.88,-7.64,0
1983,1,17,96.41,20.5,23.48,5.8,188.81,-0.85,0
1983,1,18,96.37,19.62,23.4,7.1,296.31,-2.16,0
1983,1,19,96.35,14.38,22.28,4.39,317.81,-7.2,0
1983,1,20,96.39,14.19,21.68,5.89,111.38,-7.71,0
1983,1,21,96.51,14.94,22.62,6.74,116.25,-6.52,0
1983,1,22,96.45,18.62,21.85,5.03,137.62,-2.89,0
1983,1,23,96.34,25.56,25.92,6.29,163.12,3.9,0
1983,1,24,96.26,26.19,26.62,3.5,255.44,3.76,0
1983,1,25,96.31,24.38,25.31,5.2,281.38,1.58,0.01
1983,1,26,96.29,26.31,25.12,4.1,241.31,2.89,0
1983,1,27,96.32,37.62,25.6,6.34,245.81,7.91,0
1983,1,28,96.34,60.25,23.46,4.41,267.69,12.24,0.01
1983,1,29,96.39,53,21.76,3.23,288.38,7.79,0
1983,1,30,96.31,35.94,22.06,5.16,308.06,3.61,0
1983,1,31,96.19,29.94,22.27,5.93,312.44,2.05,0
1983,2,1,96.17,26.56,21.24,6.02,302.12,-1.55,0
1983,2,2,96.32,28.44,20.82,3.88,304.06,-1.74,0
1983,2,3,96.44,15.44,18.28,5.14,196.5,-10.18,0
1983,2,4,96.36,13.12,20.28,7.98,57.19,-10.8,0
1983,2,5,96.18,12.88,19.87,7.14,74,-11.12,0
1983,2,6,96.1,14.25,20.26,5.33,76,-8.93,0
1983,2,7,96.04,20.94,21.85,6.36,92.5,-3.29,0
1983,2,8,96.04,35.75,23.52,7.48,122.69,4.55,0
1983,2,9,96.14,23.62,22.81,7.33,41.31,-1.1,0
1983,2,10,96.18,27.06,23.48,7.12,60.94,1.63,0
1983,2,11,96.1,34.44,25.53,7.18,101.56,6.12,0
1983,2,12,95.88,25.31,26.8,6.27,182,2.98,0
1983,2,13,95.8,24.69,27.54,7.38,266.88,2.28,0
1983,2,14,96.06,34.56,26.33,7.41,275.5,5.82,0
1983,2,15,96.21,43,27.23,7.92,264.81,9.26,0
1983,2,16,96.18,40,25.12,4.62,295.06,6.41,0
1983,2,17,96.05,26.5,24.23,5.07,285.31,0.73,0
